Call Name,Call Description,Call URL,Call Resource,Call Method,Parameter Name,Parameter Description
Tournaments_OpenForPredictions,Sets the state of the tournament to start accepting predictions. Your tournament's 'prediction_method' attribute must be set to 1 (exponential scoring) or 2 (linear scoring) to use this option. Note: Once open for predictions; match records will be persisted; so participant additions and removals will no longer be permitted.,https://api.challonge.com/v1,tournaments/{tournament}/open_for_predictions,POST,include_participants,0 or 1; includes an array of associated participant records
,,,,,include_matches,0 or 1; includes an array of associated match records
