Call Name,Call Description,Call URL,Call Resource,Call Method,Parameter Name,Parameter Description
Tournaments_Reset,Reset a tournament; clearing all of its scores and attachments. You can then add/remove/edit participants before starting the tournament again.,https://api.challonge.com/v1,tournaments/{tournament}/reset,POST,include_participants,0 or 1; includes an array of associated participant records
,,,,,include_matches,0 or 1; includes an array of associated match records
