Call Name,Call Description,Call URL,Call Resource,Call Method,Parameter Name,Parameter Description
Tournament_Show,Retrieve a single tournament record created with your account.,https://api.challonge.com/v1,tournaments/{tournament},GET,include_participants,0 or 1; includes an array of associated participant records
,,,,,include_matches,0 or 1; includes an array of associated match records
