Call Name,Call Description,Call URL,Call Resource,Call Method,Parameter Name,Parameter Description
MatchAttachments_Create,"Add a file; link; or text attachment to a match. NOTE: The associated tournament's ""accept_attachments"" attribute must be true for this action to succeed.",https://api.challonge.com/v1,tournaments/{tournament}/matches/{match_id}/attachments,POST,match_attachment[asset],A file upload (250KB max; no more than 4 attachments per match). If provided; the url parameter will be ignored.
,,,,,match_attachment[url],A web URL
,,,,,match_attachment[description],Text to describe the file or URL attachment; or this can simply be standalone text.
