Call Name,Call Description,Call URL,Call Resource,Call Method,Parameter Name,Parameter Description
Tournaments_Finalize,Finalize a tournament that has had all match scores submitted; rendering its results permanent.,https://api.challonge.com/v1,tournaments/{tournament}/finalize,POST,include_participants,0 or 1; includes an array of associated participant records
,,,,,include_matches,0 or 1; includes an array of associated match records
