Call Name,Call Description,Call URL,Call Resource,Call Method,Parameter Name,Parameter Description
Tournaments_ProcessCheckIns,This should be invoked after a tournament's check-in window closes before the tournament is started.  1. Marks participants who have not checked in as inactive.  2. Moves inactive participants to bottom seeds (ordered by original seed).  3. Transitions the tournament state from 'checking_in' to 'checked_in'.  NOTE: Checked in participants on the waiting list will be promoted if slots become available.,https://api.challonge.com/v1,tournaments/{tournament}/process_check_ins,POST,include_participants,0 or 1; includes an array of associated participant records
,,,,,include_matches,0 or 1; includes an array of associated match records
